Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Polska;2010;35,64;55,82;49,19;27191,38;10,91;15,95;73,14;41,35;195,18;657,84;712,35;610,93;322,75
Polska;2011;37,98;54,61;47,49;26769,51;8,8;15,79;75,41;41,14;202,39;637,66;718,43;605,72;319,42
Polska;2012;37,82;54,65;46,18;25787,73;8,91;14,81;76,27;41,56;194,58;612,82;726,27;617,55;326,86
Polska;2013;37,76;54,13;45,27;25690,41;7,9;14,74;77,36;41,78;185,31;587,51;731,46;626,35;329,04
Polska;2014;38,81;53,8;46,09;26033,92;6,29;14,99;78,72;41,99;184,73;567,23;732,98;632,63;335,98
Polska;2015;40,17;53,78;46,92;26610,44;5,39;15,24;79,37;42,33;178,22;550,4;728,28;635,06;356,14
Polska;2016;41,17;53,58;47,59;27233,61;4,79;15,15;80,07;42,65;168,67;533,64;728,59;642,52;367,82
Polska;2017;41,25;54,17;49,1;28257,34;4,18;15,28;80,54;43,08;173,72;522,07;716,98;654,35;399,06
Polska;2018;42,5;53,87;49,88;28999,37;4,12;15,09;80,79;43,64;169,04;508,32;703,75;664,04;431,86
Portugalia;2000;31,05;57,87;54,18;10419,26;47,96;20,34;31,71;41,73;658,51;1390,54;1221,35;1043,87;589,59
Portugalia;2001;30,81;56,61;53,21;11117;47,44;20,86;31,7;41,71;635,13;1411,83;1165,34;1054,6;554,47
Portugalia;2002;29,5;50,6;46,76;11968,11;40,07;24,41;35,52;40,13;577,95;1427,49;1045,94;1006,83;407,34
Portugalia;2003;32,2;48,52;45,43;12336,96;39,6;24,04;36,35;39,89;479,8;1293,59;1053,45;1039,66;405,84
Portugalia;2004;33,46;48,08;45,12;13701,32;33;26,02;40,98;39,16;523,1;1260,58;1117,5;1036,5;374,84
Portugalia;2005;34,06;46,31;43,34;14429,75;33,05;24,76;42,18;39,52;434,23;1208,2;1122,78;1016,57;393,79
Portugalia;2006;33,03;47,24;44,36;15680,9;31,42;25,3;43,27;39,85;414,24;1229,62;1170,65;1043,41;420,57
Portugalia;2007;31,83;46,83;44,3;17065,47;31,01;24,66;44,34;40,2;389,45;1217,31;1187,17;1008,87;419,39
Portugalia;2008;31,45;46,15;43,99;18967,28;30,39;23,83;45,77;40,52;378,39;1199,86;1187,2;954,47;443,89
Portugalia;2009;31,78;45,87;43,19;18070,7;30,71;21,94;47,35;40,7;386,63;1182,04;1215,67;931,75;456
Portugalia;2010;32,28;46,33;43,47;17469,18;32,35;19,9;47,74;40,79;310,64;1015,09;1249,73;820,54;474,2
Portugalia;2011;33,36;46,15;43,17;17907,67;31,09;19,87;49,04;40,92;310,02;1012,39;1243,43;811,88;468,78
Portugalia;2012;35,16;46,28;43,47;18361,2;31,01;19,99;48,99;41,29;300,44;992,18;1233,76;832,66;486,87
Portugalia;2013;33,75;46,01;43,1;19077,23;30,35;20,09;49,56;41,61;280,13;967,3;1188,54;876,76;498,3
Portugalia;2014;35,13;46,15;43,33;19801,95;29,31;20,69;49,99;41,78;262,44;977,25;1156,06;914,7;511,46
Portugalia;2015;32,63;45,19;42,55;20665,64;25,61;20,03;54,36;41,62;266,78;940,67;1156,2;926,28;469,33
Portugalia;2016;35,85;44,47;42,26;21782,13;22,64;21,05;56,32;42,18;229,83;898,32;1129,56;949,44;482,36
Portugalia;2017;34,3;45,97;44,11;23467,94;22,3;21,72;55,98;42,49;260,07;889,6;1135,09;1006,37;487,04
Portugalia;2018;33,96;45,57;43,9;24538,08;22,09;21,55;56,36;42,89;248,14;853,43;1120,77;1023,22;479,64
Republika_Czeska;2000;24,07;49,64;45,94;29368,06;4,61;12,98;82,4;36,09;19,2;38,13;36,03;25,48;11,05
Republika_Czeska;2001;26,77;52,09;49,06;30201,56;3,93;12,34;83,73;36,37;19,29;40,5;38,51;29,4;11,79
Republika_Czeska;2002;26,07;52,6;50,39;30968,99;4,21;11,94;83,85;36,5;17,72;42,76;40,81;30,04;11,55
Republika_Czeska;2003;27,68;53,85;51,37;31397,48;3,88;11,12;85;36,79;18,32;44,01;43,58;32,57;11,91
Republika_Czeska;2004;28,1;53,87;50,92;32537,46;4;10,48;85,53;37,23;17,94;43,69;44,52;34,6;12,59
Republika_Czeska;2005;29,62;53,2;49,73;33628,69;3,44;10,35;86,2;37,24;19,17;45,96;45,06;35,8;12,86
Republika_Czeska;2006;28,86;54,09;51,15;34631,26;2,88;10,03;87,09;37,23;18,85;47,57;46,36;35,98;15
Republika_Czeska;2007;28,62;55,22;52,68;35630,05;2,36;9,48;88,16;37,32;19,88;52,06;46,34;38,34;17,72
Republika_Czeska;2008;28,06;55,58;53,22;36013,62;2,67;9,62;87,71;37,16;20,3;53,53;45,18;38,99;17,88
Republika_Czeska;2009;28,99;56,51;53,41;34353,16;2,96;9,47;87,57;37,36;20,72;56,42;49,26;39,84;18,98
Republika_Czeska;2010;27,71;57,63;53,93;33913,3;2,49;9,2;88,31;37,5;22,14;59,82;51,79;41,52;20,57
Republika_Czeska;2011;25,75;56,81;52,48;33192,34;2,36;8,42;89,22;37,75;20,23;63,41;54,15;43,55;20,36
Republika_Czeska;2012;26,2;56,18;49,99;31749,56;1,85;8,35;89,8;37,79;20,08;64,31;54,18;45,08;20,01
Republika_Czeska;2013;27,18;56,27;47,76;29977,91;1,68;7,31;91,01;37,46;20,42;65,08;53,76;44,17;20,42
Republika_Czeska;2014;27,85;57,82;49,13;29912,19;2,06;7,05;90,89;37,18;21,94;65,53;54,82;44,45;20,24
Republika_Czeska;2015;29,48;57,88;49,34;30673,3;2,07;6,32;91,61;37,44;20,09;62,83;53,35;43,88;22,17
Republika_Czeska;2016;25,39;56,99;49,4;32002,23;1,64;6,41;91,95;37,82;19,28;61,06;52,04;42,59;23,61
Republika_Czeska;2017;24,64;57,26;50,81;33047,55;1,08;6,9;92,02;38,31;19,87;62,13;52,07;43,26;25,03
